Date;AUD;USD
30.04.2016 0:00:00;49,0735;64,3334
29.04.2016 0:00:00;49,7335;65,1133
28.04.2016 0:00:00;49,6859;65,1618
27.04.2016 0:00:00;51,4302;66,4559
26.04.2016 0:00:00;51,4313;66,6295
23.04.2016 0:00:00;51,3336;66,2198
22.04.2016 0:00:00;50,8304;65,0254
21.04.2016 0:00:00;51,548;66,0364
20.04.2016 0:00:00;51,0737;65,6474
19.04.2016 0:00:00;52,4469;68,2724
16.04.2016 0:00:00;50,9671;66,0452
15.04.2016 0:00:00;50,9687;66,4954
14.04.2016 0:00:00;50,3703;65,7662
13.04.2016 0:00:00;50,7743;66,3456
12.04.2016 0:00:00;50,7264;67,125
09.04.2016 0:00:00;51,0517;67,4662
08.04.2016 0:00:00;51,4029;67,796
07.04.2016 0:00:00;51,7063;68,5215
06.04.2016 0:00:00;52,1291;68,8901
05.04.2016 0:00:00;52,3306;68,6753
02.04.2016 0:00:00;51,5374;67,141
01.04.2016 0:00:00;51,9839;67,8552
31.03.2016 0:00:00;51,9429;67,6076
30.03.2016 0:00:00;51,7862;68,7549
29.03.2016 0:00:00;51,0524;67,7807
26.03.2016 0:00:00;51,5313;68,4346
25.03.2016 0:00:00;51,6996;68,9328
24.03.2016 0:00:00;51,4274;67,6409
23.03.2016 0:00:00;51,3745;67,7764
22.03.2016 0:00:00;52,3358;68,8086
19.03.2016 0:00:00;52,1501;68,4026
18.03.2016 0:00:00;52,3317;68,5598
17.03.2016 0:00:00;53,0064;71,0256
16.03.2016 0:00:00;52,694;70,5408
15.03.2016 0:00:00;52,791;70,1542
12.03.2016 0:00:00;52,6386;70,3067
11.03.2016 0:00:00;53,213;71,0928
10.03.2016 0:00:00;53,914;72,3775
05.03.2016 0:00:00;53,9596;73,1854
04.03.2016 0:00:00;53,899;73,8242
03.03.2016 0:00:00;53,1724;73,6256
02.03.2016 0:00:00;53,1705;74,0536
01.03.2016 0:00:00;54,1542;75,8994
27.02.2016 0:00:00;54,2227;75,0903
26.02.2016 0:00:00;54,8425;76,3929
25.02.2016 0:00:00;54,9646;76,3928
21.02.2016 0:00:00;55,1575;77,1326
20.02.2016 0:00:00;54,2807;76,3657
19.02.2016 0:00:00;53,8691;75,4575
18.02.2016 0:00:00;55,2581;77,8503
17.02.2016 0:00:00;54,7134;76,245
16.02.2016 0:00:00;55,5266;77,7792
13.02.2016 0:00:00;56,4177;79,4951
12.02.2016 0:00:00;55,8073;79,1144
11.02.2016 0:00:00;56,1073;79,0689
10.02.2016 0:00:00;55,4461;78,6805
09.02.2016 0:00:00;54,7714;76,8614
06.02.2016 0:00:00;55,4766;77,3409
05.02.2016 0:00:00;54,9066;76,4609
04.02.2016 0:00:00;55,9016;79,2593
03.02.2016 0:00:00;55,1725;77,9273
02.02.2016 0:00:00;54,0238;76,3264
30.01.2016 0:00:00;53,4851;75,1723
29.01.2016 0:00:00;54,7142;77,3674
28.01.2016 0:00:00;55,5269;78,9969
27.01.2016 0:00:00;56,7884;81,8394
26.01.2016 0:00:00;54,2708;77,7965
23.01.2016 0:00:00;56,5772;80,5714
22.01.2016 0:00:00;57,7198;83,5913
21.01.2016 0:00:00;54,4628;79,4614
20.01.2016 0:00:00;54,3046;78,4862
19.01.2016 0:00:00;54,3831;78,6678
16.01.2016 0:00:00;52,937;76,565
15.01.2016 0:00:00;53,1605;76,523
14.01.2016 0:00:00;53,7515;76,4275
13.01.2016 0:00:00;53,3241;76,6041
12.01.2016 0:00:00;52,9756;75,9507
01.01.2016 0:00:00;53,3701;72,9299
